raw_text,aspectTerms
Example is the soup which was about 6 oz for $12 dollars and the mushrooms where $12 for about 1oz.,"[{'term': 'soup', 'polarity': 'positive'}, {'term': 'mushrooms', 'polarity': 'positive'}]"
"Service is not exactly five star, but thats not really a big deal.","[{'term': 'Service', 'polarity': 'conflict'}]"
There are other people waiting!,"[{'term': 'waiting', 'polarity': 'negative'}]"
"From beginning appetizers, the scallops were incredible, to the delicious chocolate souffle with rasberry mint sorbet, we were delighted by the taste sensations.","[{'term': 'beginning appetizers', 'polarity': 'positive'}, {'term': 'scallops', 'polarity': 'positive'}, {'term': 'chocolate souffle with rasberry mint sorbet', 'polarity': 'positive'}, {'term': 'taste', 'polarity': 'positive'}]"
OU MUST TRY THIS RESTAURANT.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
"We left, never to return.","[{'term': 'noaspectterm', 'polarity': 'none'}]"
Consistently good Japanese Tapas.,"[{'term': 'Japanese Tapas', 'polarity': 'positive'}]"
No apologies during restaurant week.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
"My goodness, everything from the fish to the rice to the seaweed was absolutely amazing.","[{'term': 'fish', 'polarity': 'positive'}, {'term': 'rice', 'polarity': 'positive'}, {'term': 'seaweed', 'polarity': 'positive'}]"
"This place started off a little iffy, but is now one of my favorite indian restaurants in NYC (and I'm indian, so I should know).","[{'term': 'noaspectterm', 'polarity': 'none'}]"
They also do a great job for restaurant week.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
I went to this restaurant with a woman that I met recently.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
"The dishes offered were unique, very tasty and fresh from the lamb sausages, sardines with biscuits, large whole shrimp to the amazing pistachio ice cream (the best and freshest I've ever had).","[{'term': 'dishes', 'polarity': 'positive'}, {'term': 'lamb sausages', 'polarity': 'positive'}, {'term': 'sardines with biscuits', 'polarity': 'positive'}, {'term': 'large whole shrimp', 'polarity': 'positive'}, {'term': 'pistachio ice cream', 'polarity': 'positive'}]"
This is where the aforementioned line was.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
The food is reliable and the price is moderate.,"[{'term': 'food', 'polarity': 'positive'}, {'term': 'price', 'polarity': 'neutral'}]"
"Aside from the bearded, courdoroy blazer professor type with the NYU student he's sleeping with that week, you see a strange mix of hipsters, frat boys, Will Smith types who need to be told they are black, bitter cougars who cant understand why they arent married yet....","[{'term': 'noaspectterm', 'polarity': 'none'}]"
"While the ambiance and atmosphere were great, the food and service could have been a lot better.","[{'term': 'ambiance', 'polarity': 'positive'}, {'term': 'atmosphere', 'polarity': 'positive'}, {'term': 'food', 'polarity': 'negative'}, {'term': 'service', 'polarity': 'negative'}]"
We always go there on the weekends and leave extremely full and satisfied.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
i dont how this place is still running.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
The server was really cool and served us our food and drinks with a smile.,"[{'term': 'server', 'polarity': 'positive'}, {'term': 'food', 'polarity': 'neutral'}, {'term': 'drinks', 'polarity': 'neutral'}, {'term': 'served', 'polarity': 'positive'}]"
We were in search of food and stumbled on this block of Indian restaurants on East Sixth Street.,"[{'term': 'food', 'polarity': 'neutral'}]"
"Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too .","[{'term': 'sushi', 'polarity': 'positive'}, {'term': 'thai food', 'polarity': 'positive'}]"
"Very excited to hear that short-term Chef Jason Narone has moved on, he truly was a low point of their Sterling track record.","[{'term': 'Chef', 'polarity': 'negative'}]"
Excellent experience.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
"Well worth the trip, close to City Hall and downtown subway stops.","[{'term': 'noaspectterm', 'polarity': 'none'}]"
I had to share my table with a loud group of kids and the service was rude an unattentive.,"[{'term': 'service', 'polarity': 'negative'}, {'term': 'table', 'polarity': 'negative'}]"
What more could you want?,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
"If you are the type of person who likes being scared and entertained, this is a great place to go and eat.","[{'term': 'noaspectterm', 'polarity': 'none'}]"
"All in all, I don't see how you can go wrong.","[{'term': 'noaspectterm', 'polarity': 'none'}]"
The sauce on the pizza is sooo good with garlic and fresh tomatoes and they don't skimp.,"[{'term': 'garlic', 'polarity': 'positive'}, {'term': 'fresh tomatoes', 'polarity': 'positive'}, {'term': 'sauce on the pizza', 'polarity': 'positive'}]"
"We recently decided to try this location, and to our delight, they have outdoor seating, perfect since I had my yorkie with me.","[{'term': 'outdoor seating', 'polarity': 'positive'}]"
"My husband had the mesclun, salmon, and ice cream and he enjoyed all 3 courses.","[{'term': 'mesclun', 'polarity': 'positive'}, {'term': 'salmon', 'polarity': 'positive'}, {'term': 'ice cream', 'polarity': 'positive'}, {'term': 'courses', 'polarity': 'positive'}]"
We were told that the wait was about twenty minutes and there would be no problem for our 8:00 pm curtain call.,"[{'term': 'wait', 'polarity': 'neutral'}]"
The food is usually good but it certainly isn't a relaxing place to go.,"[{'term': 'food', 'polarity': 'positive'}, {'term': 'place', 'polarity': 'negative'}]"
I'm told that it is open 24hrs which is good.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
"Super friendly and knowledgable staff, fabulous bistro fare and a wonderful jazz brunch with great live jazz (the chilaquiles were awesome!","[{'term': 'staff', 'polarity': 'positive'}, {'term': 'bistro fare', 'polarity': 'positive'}, {'term': 'chilaquiles', 'polarity': 'positive'}, {'term': 'jazz brunch', 'polarity': 'positive'}, {'term': 'live jazz', 'polarity': 'positive'}]"
The prices were fantastic.,"[{'term': 'prices', 'polarity': 'positive'}]"
What a great place!,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
"Still, any quibbles about the bill were off-set by the pour-your-own measures of liquers which were courtesey of the house...","[{'term': 'bill', 'polarity': 'conflict'}, {'term': 'measures of liquers', 'polarity': 'positive'}]"
"The table service could have been a little more attentive but as someone who also works in the service industry, I understood they were busy.","[{'term': 'table service', 'polarity': 'conflict'}, {'term': 'service', 'polarity': 'neutral'}]"
"It's not mind-blowing, but to me, thai food never is and never will be.","[{'term': 'thai food', 'polarity': 'neutral'}]"
"Food was very good as well, considering that we tried the budget selection (though I wish the pork belly that I ordered was roasted a bit longer, so that fat was more of a melt-in-your-mouth experience).","[{'term': 'Food', 'polarity': 'positive'}, {'term': 'pork belly', 'polarity': 'negative'}, {'term': 'fat', 'polarity': 'negative'}]"
"Although, one night we went it was super cheesy, and another night it was less cheesy.","[{'term': 'noaspectterm', 'polarity': 'none'}]"
"Even though it is a little loud, you don't have to yell at each other to talk.","[{'term': 'noaspectterm', 'polarity': 'none'}]"
"i've been to sapphire twice and both times the food was fine, if not good.","[{'term': 'food', 'polarity': 'positive'}]"
It is kinda nosiy and the tables are close together but it's still a beautiful place to enjoy a nice dinner.,"[{'term': 'tables', 'polarity': 'negative'}, {'term': 'dinner', 'polarity': 'positive'}, {'term': 'place', 'polarity': 'positive'}]"
Was surprisingly disappointed.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
I love the fact that the pizza tastes so good and is so cheap.,"[{'term': 'pizza', 'polarity': 'positive'}]"
Nicky the Nose at the bar is a treat.,"[{'term': 'bar', 'polarity': 'neutral'}]"
I went to Ruby Foo's after work with a group of 6.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
I'm amazed we haven't been kicked out of this place yet.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
"Service was prompt, friendly and great.","[{'term': 'Service', 'polarity': 'positive'}]"
"I haven't eat a lamb chop as delicious as that,the salads are really nice dressed with lemon and extra virgnin olive oil.","[{'term': 'lamb chop', 'polarity': 'positive'}, {'term': 'salads', 'polarity': 'positive'}, {'term': 'lemon', 'polarity': 'positive'}, {'term': 'extra virgnin olive oil', 'polarity': 'positive'}]"
The sushi was awful!,"[{'term': 'sushi', 'polarity': 'negative'}]"
Katz's has been a NYC original for over 100 years.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
You can get an excellent meal at most of the many Indian restaurants on nearby Lexington Avenue for the cost of one the dainty dishes here.,"[{'term': 'meal', 'polarity': 'positive'}, {'term': 'cost', 'polarity': 'conflict'}, {'term': 'dishes', 'polarity': 'positive'}]"
"The Pastrami sandwich was like buttah and with pickles and an icy cold beer to wash it down, it was a pleasurable experience.","[{'term': 'Pastrami sandwich', 'polarity': 'positive'}, {'term': 'beer', 'polarity': 'positive'}, {'term': 'pickles', 'polarity': 'positive'}]"
The plain pizza was soggy and the creative wild mushroom(third generation-Fornini) pizza we had was drenched with truffle oil in the middle( again making it soggy) and nothingon the rest.,"[{'term': 'plain pizza', 'polarity': 'negative'}, {'term': 'truffle oil', 'polarity': 'neutral'}, {'term': 'wild mushroom(third generation-Fornini) pizza', 'polarity': 'positive'}]"
"Late nite omelletes are not good here, there is no variety!","[{'term': 'omelletes', 'polarity': 'negative'}]"
Everything at Sala Thai is tasty and well-portioned.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
"After all that, they complained to me about the small tip.","[{'term': 'tip', 'polarity': 'negative'}]"
It's a great place to pick up a cheap lunch or dinner.,"[{'term': 'lunch', 'polarity': 'positive'}, {'term': 'dinner', 'polarity': 'positive'}]"
"Behind this counter, two men are squeezed in.","[{'term': 'counter', 'polarity': 'negative'}]"
Great find!!!,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
"If only they delivered, they'd make a mint!","[{'term': 'noaspectterm', 'polarity': 'none'}]"
"Whenever you need a Sushi fix, Mizu will be there with quality fish and great service.","[{'term': 'fish', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'positive'}, {'term': 'Sushi fix', 'polarity': 'positive'}]"
"Our waitress was sweet and accomodating, not overbearing.","[{'term': 'waitress', 'polarity': 'positive'}]"
Went there with my wife and we had to wait for a table even though you could see there many that were empty with not reservation sigh on them.,"[{'term': 'reservation sigh', 'polarity': 'neutral'}, {'term': 'table', 'polarity': 'negative'}]"
I was really disappointed ant wanted to tell everyone not to go eat or even take out food from there.,"[{'term': 'food', 'polarity': 'negative'}]"
The website and rating makes this place look wonderful but in reality it was very disappointing.,"[{'term': 'place', 'polarity': 'conflict'}]"
"Despite a slightly limited menu, everything prepared is done to perfection, ultra fresh and a work of food art.","[{'term': 'menu', 'polarity': 'negative'}, {'term': 'food art', 'polarity': 'positive'}]"
The outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful.,"[{'term': 'outdoor atmosphere', 'polarity': 'positive'}]"
"A large is $20, and toppings are about $3 each.","[{'term': 'toppings', 'polarity': 'neutral'}]"
"In any event, this is a place I'll be sure to stop by again when I'm in this part of town.","[{'term': 'noaspectterm', 'polarity': 'none'}]"
I definitely wouldn't go back.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
It is not worth for that bucks.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
brick oven gallery is My pick for best pizza restaurant anywhere.,"[{'term': 'pizza', 'polarity': 'positive'}]"
Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,"[{'term': 'service', 'polarity': 'positive'}, {'term': 'food', 'polarity': 'positive'}, {'term': 'price', 'polarity': 'positive'}]"
"For many people, this may not seem like Aunthentic Thai food because most places in NYC arent quite authentic.","[{'term': 'Thai food', 'polarity': 'negative'}]"
"Growing up in NY, I have eaten my share of bagels.","[{'term': 'bagels', 'polarity': 'neutral'}]"
"Oh, don't even let me start with how expensive the bills were!","[{'term': 'bills', 'polarity': 'negative'}]"
A hearty two thumbs up!,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
The scallion pancakes and fried dumplings were nothing out of the ordinary.,"[{'term': 'scallion pancakes', 'polarity': 'neutral'}, {'term': 'fried dumplings', 'polarity': 'neutral'}]"
"All the appetizers and salads were fabulous, the steak was mouth watering and the pasta was delicious!!!","[{'term': 'appetizers', 'polarity': 'positive'}, {'term': 'salads', 'polarity': 'positive'}, {'term': 'steak', 'polarity': 'positive'}, {'term': 'pasta', 'polarity': 'positive'}]"
"Besides having the table we had been promised given to other restaurant patrons twice before we were actually seated, we were served dishes we hadn't ordered three times, received one of our orders 20 minutes after the rest of the table had been served (and that order was undercooked), and charged $45 more than we should have been on our bill.","[{'term': 'table', 'polarity': 'negative'}, {'term': 'served', 'polarity': 'negative'}, {'term': 'dishes', 'polarity': 'negative'}, {'term': 'table', 'polarity': 'negative'}, {'term': 'served', 'polarity': 'negative'}, {'term': 'bill', 'polarity': 'negative'}]"
Service is top notch.,"[{'term': 'Service', 'polarity': 'positive'}]"
The food now is inconsistent.,"[{'term': 'food', 'polarity': 'negative'}]"
All pretty good.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
"You can also special order any kind of dumpling,etc.","[{'term': 'dumpling', 'polarity': 'positive'}]"
you guys rock.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
Chance is a joke.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
I was pretty much full after our fondue appetizer.,"[{'term': 'fondue appetizer', 'polarity': 'neutral'}]"
BE CAREFUL before you request extra spice.,"[{'term': 'spice', 'polarity': 'neutral'}]"
The octopus eaters were floored by the Octopus salad.,"[{'term': 'Octopus salad', 'polarity': 'positive'}]"
We thought that this place is using too much of MSG cooking in the foods.,"[{'term': 'foods', 'polarity': 'negative'}, {'term': 'MSG cooking', 'polarity': 'negative'}]"
I was at Rao's last Wed.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
And the Tom Kha soup was pathetic.,"[{'term': 'Tom Kha soup', 'polarity': 'negative'}]"
I started out with a Bombay beer which was big enough for two.,"[{'term': 'Bombay beer', 'polarity': 'positive'}]"
"The decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall, which are great for a date.","[{'term': 'decor', 'polarity': 'positive'}, {'term': 'dining hall', 'polarity': 'positive'}, {'term': 'semi-private boths', 'polarity': 'positive'}]"
Service was quick.,"[{'term': 'Service', 'polarity': 'positive'}]"
Tends to turn people away.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
We thought this a prelude to what the evening will be like.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
"I was turned on to this restaurant by a fellow foodie friend of mine, and have been going back regularly ever since.","[{'term': 'noaspectterm', 'polarity': 'none'}]"
Drawbacks: service is slow and they don't toast!,"[{'term': 'service', 'polarity': 'negative'}]"
Went there for an office lunch.,"[{'term': 'office lunch', 'polarity': 'neutral'}]"
I have been doing all of the above at the Heartland Brewery for over 5 years now and I HAVE NEVER BEEN DISAPPOINTED!,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
"Everytime I decide to try another place on the UES, I get angry that I didn't just go to Zucchero Pomodori.","[{'term': 'noaspectterm', 'polarity': 'none'}]"
The sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable.,"[{'term': 'sweet lassi', 'polarity': 'positive'}, {'term': 'lamb chettinad', 'polarity': 'positive'}, {'term': 'garlic naan', 'polarity': 'positive'}, {'term': 'rasamalai', 'polarity': 'negative'}]"
"We've been following chef Lyle's food around New York for 15 years and while remaining classic, his innovations with bistro fare have made us return and return.","[{'term': 'bistro fare', 'polarity': 'positive'}, {'term': 'chef', 'polarity': 'positive'}, {'term': 'food', 'polarity': 'positive'}]"
The best thing I tasted were the lambchops.,"[{'term': 'lambchops', 'polarity': 'positive'}]"
it's delicious!,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
The spicy tuna and salmon are the best we've ever had.,"[{'term': 'spicy tuna', 'polarity': 'positive'}, {'term': 'salmon', 'polarity': 'positive'}]"
"Even though its good seafood, the prices are too high.","[{'term': 'seafood', 'polarity': 'positive'}, {'term': 'prices', 'polarity': 'negative'}]"
"In addition, the food is very good and the prices are reasonable.","[{'term': 'food', 'polarity': 'positive'}, {'term': 'prices', 'polarity': 'positive'}]"
"Upon entering, we were greeted by the owners, Steven and Frederick, who went out of their way to be more than gracious hosts.","[{'term': 'owners', 'polarity': 'positive'}, {'term': 'hosts', 'polarity': 'positive'}]"
"If you live outside the neighborhood, don't bother!","[{'term': 'noaspectterm', 'polarity': 'none'}]"
Been going here since it opened have seen the quality value decrease considerably.,"[{'term': 'quality value', 'polarity': 'negative'}]"
"Meat dishes now adorn the selections, although there's still a large number of vegetarian-friendly choices.","[{'term': 'Meat dishes', 'polarity': 'neutral'}, {'term': 'vegetarian-friendly choices', 'polarity': 'positive'}]"
I never had anything I didn't like here.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
Reasonable prices.,"[{'term': 'prices', 'polarity': 'positive'}]"
they bring service up a notch by offerng complementary amuse bouche to all tables and gave us a small dessert for our celebration.,"[{'term': 'amuse bouche', 'polarity': 'positive'}, {'term': 'dessert', 'polarity': 'positive'}, {'term': 'tables', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'positive'}]"
"Try the crunchy tuna, it is to die for.","[{'term': 'crunchy tuna', 'polarity': 'positive'}]"
It won't break the bank but I also wouldnt come back for the food.,"[{'term': 'food', 'polarity': 'negative'}]"
"All in all, this midtown gem instantly became one of my favorite sushi restaurants in the city.","[{'term': 'sushi', 'polarity': 'positive'}]"
I've been to Joya twice and I will never go again.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
So rushing us out was absolutely unnecessary!,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
However it is the ONLY Taiwanese restaurant in town.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
It is a lot of fun with live entertainment and all kinds of Disney type special effects.,"[{'term': 'live entertainment', 'polarity': 'positive'}, {'term': 'special effects', 'polarity': 'positive'}]"
"if you're looking for perfect traditional sushi, go here - if you're looking for interesting combinations, try sushi of gari's (east side).","[{'term': 'sushi', 'polarity': 'positive'}, {'term': 'sushi', 'polarity': 'positive'}]"
"No refills on fountain drinks, though.","[{'term': 'fountain drinks', 'polarity': 'negative'}]"
Wow over 100 beers to choose from.,"[{'term': 'beers', 'polarity': 'positive'}]"
Be careful of portions - they're HUGE.,"[{'term': 'portions', 'polarity': 'positive'}]"
"The Steak Tartare is a great bet, they fix it for you at the table.","[{'term': 'Steak Tartare', 'polarity': 'positive'}]"
My first time there I happened not to like the Crab Croquette apt that i ordered and they were happy to change it for me without making no big deal.,"[{'term': 'Crab Croquette apt', 'polarity': 'negative'}]"
Great for large groups and celebrations - our SUPER HAPPY waiter was the entertainment of the evening.,"[{'term': 'waiter', 'polarity': 'positive'}]"
Did I mention the wine?,"[{'term': 'wine', 'polarity': 'neutral'}]"
"Plus, on Wednesday nights the house wine is unlimited!","[{'term': 'house wine', 'polarity': 'positive'}]"
It is by far my favorite restaurant in Brooklyn.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
Now it's so crowded and loud you can't even talk to the person next to you.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
Love Pizza 33..,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
Even my Indian friend couldn't believe how good and tasty everything was.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
"I'm from England, and Haru's was the best I had in NYC.","[{'term': 'noaspectterm', 'polarity': 'none'}]"
Less = More in their case.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
Ruby Foo's is a tourist trap.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
I've been here a couple of times and have not been impressed.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
I've been many time and have never been disappointed.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
Ciao Bella,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
like saying her bread comes from a special bakery when we have seen her buying it dowtown manhathan.,"[{'term': 'bread', 'polarity': 'negative'}]"
The dim sum servings here are a bit larger than I'm used to.,"[{'term': 'dim sum servings', 'polarity': 'neutral'}]"
"However, in the summer of 2003, it seems the management has changed and the great big door has been replaced for a glass front ridding itself of the dark romantic getup.","[{'term': 'management', 'polarity': 'neutral'}, {'term': 'door', 'polarity': 'positive'}, {'term': 'glass front', 'polarity': 'negative'}]"
We won't go to this place again for a good meal.,"[{'term': 'meal', 'polarity': 'negative'}]"
It's a much more grown up restaurant compared to the rest of the street.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
"Barbecued codfish was gorgeously moist - as if poached - yet the fabulous texture was let down by curiously bland seasoning - a spice rub might have overwhelmed, however herb mix or other sauce would have done much to enhance.","[{'term': 'Barbecued codfish', 'polarity': 'positive'}, {'term': 'seasoning', 'polarity': 'negative'}, {'term': 'texture', 'polarity': 'conflict'}, {'term': 'spice rub', 'polarity': 'negative'}, {'term': 'herb mix', 'polarity': 'negative'}, {'term': 'sauce', 'polarity': 'negative'}]"
We were treated with attitude ever since the moment we stepped into the restaurant!,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
"After dinner, take your date to the HUGE dance floor, probably one of the biggest you'll see in NY.","[{'term': 'dance floor', 'polarity': 'positive'}, {'term': 'dinner', 'polarity': 'neutral'}]"
Taj Mahal offeres gret value and great food.,"[{'term': 'value', 'polarity': 'positive'}, {'term': 'food', 'polarity': 'positive'}]"
Has the chef and owner changed???,"[{'term': 'chef', 'polarity': 'neutral'}, {'term': 'owner', 'polarity': 'neutral'}]"
My boyfriend and I recently had an early dinner at Artisanal and was satisfied with our experience.,"[{'term': 'dinner', 'polarity': 'positive'}]"
I absolutely Loved this place.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
I wish I lived there as I would eat at this place as often as possible!,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
"But don't ever order bacon late at nite (either platter or in sandwiches, for that matter don't from any take out place) as it is from the morning frying turns out hard almost like bacos, hurt my molars.","[{'term': 'bacon', 'polarity': 'negative'}, {'term': 'platter', 'polarity': 'negative'}, {'term': 'in sandwiches', 'polarity': 'negative'}, {'term': 'frying', 'polarity': 'negative'}, {'term': 'bacos', 'polarity': 'negative'}]"
"Outstanding Bagels, but you get what you pay for.","[{'term': 'Bagels', 'polarity': 'positive'}]"
"Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best, freshly baked bread!","[{'term': 'Pizza', 'polarity': 'positive'}, {'term': 'crust', 'polarity': 'positive'}, {'term': 'pizza', 'polarity': 'positive'}, {'term': 'toppings', 'polarity': 'neutral'}, {'term': 'bread', 'polarity': 'positive'}]"
"If you're in town, it's worth searching for another place.","[{'term': 'noaspectterm', 'polarity': 'none'}]"
I have tried the various slice joints around the village but this is by far the best one.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
"I found it on a cold night, the perfect spot to warm up.","[{'term': 'spot', 'polarity': 'positive'}]"
They even have a section in the menu called American Chinese food!,"[{'term': 'menu', 'polarity': 'negative'}, {'term': 'American Chinese food', 'polarity': 'negative'}]"
"Service was warm and attentive, beef carpaachio was exellent (huge portion) and pasta was fresh and well-prepared.","[{'term': 'Service', 'polarity': 'positive'}, {'term': 'beef carpaachio', 'polarity': 'positive'}, {'term': 'pasta', 'polarity': 'positive'}, {'term': 'portion', 'polarity': 'positive'}]"
kalbi and nebbiolo do work together.,"[{'term': 'kalbi', 'polarity': 'neutral'}, {'term': 'nebbiolo', 'polarity': 'neutral'}]"
"Best Italian food I ever had (and being Italian, that means alot).","[{'term': 'Italian food', 'polarity': 'positive'}]"
I will recommend Scopa to all of my friends for a place to go for wonderful Italian food.,"[{'term': 'Italian food', 'polarity': 'positive'}]"
Located at the end of a magnificent block.,"[{'term': 'Located', 'polarity': 'positive'}]"
"This restaurant is not worth the time, effort, or money to say the least.","[{'term': 'noaspectterm', 'polarity': 'none'}]"
"Looking around, I saw a room full of New Yorkers enjoying a real meal in a real restaurant, not a clubhouse of the fabulous trying to be seen.","[{'term': 'meal', 'polarity': 'positive'}, {'term': 'room', 'polarity': 'neutral'}, {'term': 'clubhouse', 'polarity': 'negative'}]"
Keep up the good work guys!,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
Hurley's is terrific!,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
They don't walk around with the trays of Dim Sum.,"[{'term': 'trays of Dim Sum', 'polarity': 'neutral'}]"
Took my sister here before attending a show one evening.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
"Great bar, most gorgeous bartenders you've ever seen (specifically the blond lady).","[{'term': 'bar', 'polarity': 'positive'}, {'term': 'bartenders', 'polarity': 'positive'}]"
We were planning to get dessert but the waitress basically through the bill at us before we had a chance to order.,"[{'term': 'dessert', 'polarity': 'neutral'}, {'term': 'waitress', 'polarity': 'negative'}, {'term': 'bill', 'polarity': 'neutral'}]"
Really.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
I really loved the different and inovated touch that's the cheff gives to the food.,"[{'term': 'cheff', 'polarity': 'positive'}, {'term': 'food', 'polarity': 'positive'}]"
Our friends have not arrived yet.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
They came out over cooked and the cheese was almost non existant.,"[{'term': 'cheese', 'polarity': 'negative'}]"
"I had a terrific meal, and our server guided us toward a very nice wine in our price range, instead of allowing us to purchase a similarly priced wine that wasn't as good.","[{'term': 'meal', 'polarity': 'positive'}, {'term': 'server', 'polarity': 'positive'}, {'term': 'wine', 'polarity': 'positive'}, {'term': 'wine', 'polarity': 'negative'}, {'term': 'price range', 'polarity': 'positive'}, {'term': 'priced', 'polarity': 'neutral'}]"
"The svc can be a bit rude at times, esp if you have big group, but overall the restaurant is a must!","[{'term': 'svc', 'polarity': 'negative'}]"
"My husband and I thougt it would be great to go to the Jekyll and Hyde Pub for our anniversary, and to our surprise it was fantastic.","[{'term': 'noaspectterm', 'polarity': 'none'}]"
Never once did I leave feeling unwelcome or impressed.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
"The food is good, especially their more basic dishes, and the drinks are delicious.","[{'term': 'food', 'polarity': 'positive'}, {'term': 'dishes', 'polarity': 'positive'}, {'term': 'drinks', 'polarity': 'positive'}]"
But the main hit was the whole grilled fish.,"[{'term': 'whole grilled fish', 'polarity': 'positive'}]"
"I had the tuna tartare with sake, mushroom ravioli with pinot noir, and the chocolate sampler with a dessert wine for $49.","[{'term': 'tuna tartare', 'polarity': 'positive'}, {'term': 'sake', 'polarity': 'positive'}, {'term': 'mushroom ravioli', 'polarity': 'positive'}, {'term': 'pinot noir', 'polarity': 'positive'}, {'term': 'chocolate sampler', 'polarity': 'positive'}, {'term': 'dessert wine', 'polarity': 'positive'}]"
On a hot day it was fabulous to stop in and enjoy lunch.,"[{'term': 'lunch', 'polarity': 'positive'}]"
The food is delicious and beautifully prepared along with the friendly and personable service.,"[{'term': 'food', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'positive'}]"
I usually go there later at night when I get off work so I don't have to deal with crowds or lines.,"[{'term': 'lines', 'polarity': 'negative'}, {'term': 'crowds', 'polarity': 'negative'}]"
Pizza here is consistently good.,"[{'term': 'Pizza', 'polarity': 'positive'}]"
We had a great tiem watching the shows and characters and ar food was just what we were looking for.,"[{'term': 'shows', 'polarity': 'positive'}, {'term': 'food', 'polarity': 'positive'}, {'term': 'characters', 'polarity': 'positive'}]"
"After 2 tries by the waiter to take it away (we hadn't even looked at it yet, we had full beers yet to drink), the manager approached and told us they needed the table for people with reservations.","[{'term': 'waiter', 'polarity': 'negative'}, {'term': 'beers', 'polarity': 'neutral'}, {'term': 'manager', 'polarity': 'negative'}, {'term': 'reservations', 'polarity': 'positive'}]"
Wouldn't recomend it for dinner!,"[{'term': 'dinner', 'polarity': 'negative'}]"
Sauce was watery and the food didn't have much flavor.,"[{'term': 'Sauce', 'polarity': 'negative'}, {'term': 'food', 'polarity': 'negative'}, {'term': 'flavor', 'polarity': 'negative'}]"
My husband and I enjoy Sangria.,"[{'term': 'Sangria', 'polarity': 'positive'}]"
"But after last night, Spice Grill is the only place I'm eating indian cuisine.","[{'term': 'indian cuisine', 'polarity': 'positive'}]"
We both opted for a pasta dish and they were served timely and fresh.,"[{'term': 'pasta dish', 'polarity': 'positive'}, {'term': 'served', 'polarity': 'positive'}]"
